标志,ID,人物,位置,内容,跳转,效果,目标
#,0,沈凌,,《营造法式》、《中国建筑史》、《古建筑开发保护理论》。,1,,
#,1,沈凌,右,家里那几位老先生要是看见我看这个，估计又要摇头了。,2,,
#,2,沈凌,,“古建筑还是维持原状的好”—— 他们总这么说。,3,,
END,3,,,,,,
#,4,沈凌,右,书桌上凌乱地放着些书籍和建筑图纸，中间是一台笔记本电脑。,3,,
#,5,沈凌,右,屏幕上显示着“古塔开发项目评估报告”标题，旁边放着一份合同。,6,,
#,6,沈凌,右,开发公司那边催了好几次了，让我尽快给出初步评估方案。,7,,
#,7,沈凌,右,他们说这是“让古塔重见天日”的机会......可是家里那边——,3,,
#,8,沈凌,右, ......,3,,
#,9,沈凌,右,一些建筑物的照片，右侧那座塔......,10,,
#,10,沈凌,右,这座塔家里老一辈提过，说咱们家跟它有点渊源。具体是什么，却没人说清楚。,3,,
#,11,沈凌,右,这是......一个箱子？,12,,
&,12,沈凌,右,再看看别处,3,,
&,13,沈凌,右,观察木箱,14,EnterBoxView,
#,14,,,可操控鼠标旋转木箱，点击并拖拽需要移动的部件,3,,
#,15,,,已获得手札,16,ShowManuscriptView,
#,16,沈凌,右,纸都脆了，得轻点。,17,,
#,17,沈凌,右,林默？这是署名？,18,,
#,18,沈凌,右,把它扫描到平板里吧,3,ExitBoxView,
#,19,旁白,,某年某月，勘址于东山之阳。此地风水殊异，下有旧穴。,20,,
#,20,旁白,,监工者欲填旧穴，吾阻之。塔之根基，当顺势而为，不可逆也。,21,,
#,21,旁白,, 近日心神不宁，恐有事变......,22,,
#,22,沈凌,右,这笔迹......好像在家里老照片里见过类似的字。老一辈有人临过古帖，笔锋也是这么......（摇头）应该只是巧合。,3,,
#,23,旁白,,我合上手札，陷入沉思。,24,,
#,24,系统,,笔记已解锁，可打开平板中笔记查看当前任务,3,,
#,25,沈凌,右,这座塔......我们家跟它到底有什么渊源。也许去看看，才知道该怎么选。,26,,
#,26,系统,,点击以出门,3,,
